timestamp,Ax,Ay,Az,Gx,Gy,Gz
0.000,0.011712,-0.033184,1.010160,1.050,-0.840,-1.330
9.769,0.011712,-0.031720,1.010160,0.980,-1.050,-1.190
19.548,0.013664,-0.032208,1.005768,1.050,-1.050,-1.190
29.326,0.011712,-0.033184,1.012600,0.910,-1.050,-1.050
39.108,0.010248,-0.032696,1.015040,1.050,-0.910,-1.330
48.889,0.011224,-0.034648,1.013576,0.840,-1.190,-1.120
58.677,0.013176,-0.032696,1.007720,0.840,-0.980,-1.190
68.465,0.013176,-0.034160,1.006256,0.840,-0.910,-1.260
78.250,0.012688,-0.033184,1.009184,0.910,-1.050,-1.190
88.040,0.010736,-0.032696,1.011624,0.980,-1.050,-1.190
97.826,0.013176,-0.033184,1.008696,0.910,-0.980,-1.120
107.614,0.011224,-0.031720,1.006744,0.910,-1.050,-1.120
117.404,0.010736,-0.031720,1.011136,1.050,-1.050,-1.260
127.191,0.012200,-0.033184,1.011624,1.050,-0.910,-1.260
136.963,0.013176,-0.033184,1.011624,0.980,-0.910,-1.260
146.749,0.014152,-0.032208,1.011136,0.980,-0.980,-1.330
156.540,0.013176,-0.033672,1.010648,0.910,-0.980,-1.260
166.324,0.010736,-0.031720,1.010648,0.910,-1.050,-1.190
176.110,0.013664,-0.032696,1.010160,0.910,-1.120,-1.190
185.906,0.012200,-0.032208,1.012112,0.910,-1.120,-1.260
195.696,0.012200,-0.033184,1.011624,0.840,-1.050,-1.190
205.494,0.013664,-0.031720,1.010648,0.770,-1.050,-1.120
215.273,0.010248,-0.033184,1.010648,0.980,-1.190,-1.120
225.057,0.011712,-0.032208,1.010648,0.910,-0.980,-1.190
234.833,0.012688,-0.033672,1.008208,0.980,-0.910,-1.260
244.618,0.010736,-0.033184,1.009184,1.050,-1.050,-1.260
254.408,0.013176,-0.031720,1.011624,0.980,-0.980,-1.260
264.206,0.011712,-0.032208,1.009672,0.910,-0.980,-1.260
273.984,0.012688,-0.032696,1.012112,1.050,-1.050,-1.260
283.776,0.012688,-0.034648,1.011624,0.980,-1.050,-1.190
293.561,0.010736,-0.034648,1.011136,0.910,-1.050,-1.190
303.341,0.013176,-0.032208,1.008208,0.910,-0.980,-1.190
313.123,0.013176,-0.031232,1.006744,1.050,-1.050,-1.190
322.908,0.011224,-0.031720,1.012112,0.910,-1.050,-1.190
332.698,0.012200,-0.033672,1.011624,0.770,-0.980,-1.190
342.482,0.010736,-0.032696,1.007720,0.980,-0.910,-1.330
352.276,0.010248,-0.030744,1.008696,0.980,-0.980,-1.260
362.061,0.011712,-0.030744,1.009672,0.770,-0.980,-1.190
371.860,0.010736,-0.032696,1.009184,0.980,-1.050,-1.260
381.650,0.011712,-0.034160,1.011136,0.840,-1.120,-1.190
391.452,0.013176,-0.033184,1.011624,0.980,-1.050,-1.260
401.237,0.011712,-0.033184,1.010648,0.770,-0.980,-1.120
411.029,0.012200,-0.033672,1.008208,0.910,-0.980,-1.330
422.377,0.013664,-0.032208,1.012112,0.910,-1.050,-1.190
432.169,0.013664,-0.031232,1.011624,0.910,-1.050,-0.980
441.963,0.011712,-0.032208,1.010648,1.050,-0.980,-1.400
451.757,0.012200,-0.032208,1.008696,1.050,-0.910,-1.330
461.538,0.011224,-0.032208,1.010160,0.770,-0.910,-1.260
471.328,0.011712,-0.031232,1.011624,0.770,-1.050,-1.120
481.112,0.012200,-0.033184,1.010160,0.910,-1.120,-1.190
490.906,0.013664,-0.033184,1.009184,0.840,-1.050,-1.120
500.702,0.011224,-0.031720,1.010160,0.910,-1.050,-1.190
