timestamp,Ax,Ay,Az,Gx,Gy,Gz
0.000,0.011224,-0.031232,1.012600,0.770,-1.050,-1.190
11.034,0.013664,-0.032208,1.014552,0.770,-1.190,-1.190
21.033,0.012688,-0.031720,1.007232,0.770,-0.910,-1.050
31.025,0.011712,-0.033184,1.007720,0.770,-1.120,-1.050
41.012,0.013176,-0.030744,1.011624,0.980,-1.260,-1.120
51.009,0.012200,-0.031232,1.017480,0.840,-1.050,-1.260
61.005,0.012200,-0.033672,1.011624,0.910,-1.120,-1.120
71.002,0.011712,-0.032208,1.009672,0.980,-1.190,-1.120
80.992,0.011224,-0.032208,1.008208,0.910,-1.120,-1.190
90.985,0.013176,-0.030744,1.008696,0.910,-0.980,-1.190
100.980,0.013176,-0.030744,1.010648,0.910,-1.050,-1.120
110.972,0.014152,-0.033184,1.012600,0.910,-1.120,-1.120
120.973,0.012688,-0.031232,1.012112,0.910,-1.050,-1.190
130.967,0.013176,-0.033672,1.010648,1.050,-0.910,-1.190
140.962,0.012688,-0.030256,1.011136,0.910,-0.980,-1.190
150.960,0.010736,-0.033184,1.011136,0.770,-1.120,-1.190
160.953,0.013664,-0.033184,1.012112,1.050,-1.120,-1.120
170.947,0.013176,-0.032696,1.011136,0.770,-1.050,-1.050
180.944,0.013176,-0.032208,1.010160,0.840,-1.190,-1.120
190.925,0.011712,-0.031720,1.010648,0.840,-0.910,-1.190
200.925,0.014152,-0.031720,1.012600,0.910,-0.910,-1.190
210.924,0.011712,-0.032208,1.011624,0.700,-0.980,-1.260
223.486,0.011224,-0.029768,1.011624,1.120,-0.910,-0.980
233.490,0.014152,-0.033184,1.009672,0.630,-1.050,-0.910
243.288,0.013176,-0.032696,1.010648,0.980,-0.910,-1.330
253.294,0.012200,-0.033184,1.009672,0.980,-1.190,-1.050
263.285,0.012200,-0.033184,1.010648,1.120,-1.050,-1.260
273.289,0.013176,-0.032696,1.010160,0.840,-0.910,-1.260
283.291,0.012200,-0.031232,1.010160,0.910,-1.050,-1.120
293.290,0.012200,-0.032208,1.010160,0.980,-1.050,-1.120
303.302,0.014640,-0.032208,1.011136,0.840,-0.980,-1.190
313.312,0.011712,-0.030256,1.010160,0.910,-1.050,-1.260
323.310,0.012688,-0.030744,1.009672,0.980,-0.980,-1.190
333.311,0.011224,-0.031720,1.013576,0.980,-0.910,-1.190
343.319,0.013176,-0.031720,1.010648,0.840,-0.980,-1.330
353.311,0.012688,-0.031720,1.010160,0.980,-1.050,-1.260
363.316,0.012200,-0.032696,1.011136,1.050,-1.050,-1.190
373.316,0.012200,-0.032696,1.010648,0.840,-0.980,-1.190
383.316,0.011224,-0.032696,1.012600,0.700,-1.050,-1.120
393.321,0.010736,-0.031720,1.012600,1.120,-0.980,-1.190
403.321,0.012200,-0.031232,1.010160,1.050,-0.980,-1.260
413.331,0.011224,-0.030256,1.011624,0.700,-1.120,-1.050
423.341,0.012688,-0.032696,1.010648,1.120,-1.050,-1.260
434.380,0.011712,-0.031232,1.010160,0.980,-1.050,-1.190
444.380,0.013176,-0.031720,1.011136,1.050,-0.910,-1.260
454.377,0.012688,-0.032208,1.012600,0.980,-1.190,-1.120
464.367,0.010736,-0.032208,1.012112,0.770,-1.050,-1.120
474.364,0.013176,-0.031232,1.009672,0.910,-1.050,-1.120
484.356,0.015128,-0.031720,1.010648,0.980,-1.120,-1.120
494.359,0.012688,-0.031720,1.011136,0.910,-1.050,-1.120
504.347,0.012688,-0.030744,1.010648,0.980,-0.980,-1.260
514.340,0.012688,-0.031720,1.012600,0.910,-0.980,-1.330
524.329,0.012688,-0.032696,1.010160,0.980,-0.980,-1.260
534.335,0.011712,-0.032696,1.010160,0.980,-1.050,-1.260
544.328,0.012200,-0.033184,1.010160,1.050,-1.190,-1.120
554.326,0.013664,-0.032208,1.012112,0.910,-1.120,-1.050
564.332,0.013176,-0.033184,1.009672,0.630,-1.120,-1.120
574.148,0.012688,-0.032208,1.011624,0.980,-1.050,-1.120
584.152,0.014152,-0.031720,1.011136,1.050,-0.980,-1.190
594.148,0.013176,-0.032208,1.009672,0.840,-1.050,-1.120
604.149,0.013176,-0.031720,1.013088,0.700,-1.120,-1.190
614.149,0.012688,-0.032696,1.013576,1.190,-0.980,-1.260
624.155,0.013664,-0.032696,1.012600,1.050,-0.980,-1.260
634.161,0.011224,-0.031232,1.011624,0.770,-0.980,-1.260
644.162,0.013176,-0.031720,1.010648,0.980,-0.980,-1.330
654.158,0.011712,-0.030744,1.013088,1.050,-1.050,-1.190
665.209,0.013664,-0.032696,1.010160,0.980,-0.980,-1.330
675.215,0.012200,-0.031720,1.008696,0.840,-1.330,-0.910
685.211,0.012200,-0.032208,1.011136,1.050,-1.050,-1.260
695.218,0.012200,-0.030256,1.012600,0.980,-0.910,-1.330
705.216,0.012688,-0.032208,1.011136,0.980,-1.120,-1.120
715.218,0.012200,-0.031720,1.011136,1.050,-1.050,-1.260
725.217,0.012200,-0.033184,1.010160,0.700,-0.980,-1.190
735.213,0.013664,-0.032208,1.011624,0.770,-1.050,-1.120
745.217,0.012688,-0.032696,1.012112,0.980,-1.050,-1.190
755.200,0.012200,-0.031720,1.011136,0.770,-0.980,-1.260
765.199,0.013176,-0.032696,1.008208,0.910,-0.910,-1.330
775.193,0.012688,-0.031720,1.010648,1.120,-0.980,-1.330
785.194,0.012688,-0.033672,1.012112,1.050,-0.980,-1.330
795.198,0.013176,-0.031720,1.011136,0.910,-1.050,-1.120
