timestamp,Ax,Ay,Az,Gx,Gy,Gz
0.000,-0.392352,-0.992592,-0.010248,-13.580,-6.790,7.280
9.615,-0.394304,-1.014064,-0.032696,-12.600,-9.240,7.840
19.231,-0.392840,-1.021384,-0.054168,-13.090,-10.010,8.330
28.846,-0.392840,-1.033584,-0.065880,-14.910,-8.610,7.700
38.462,-0.398696,-1.052128,-0.078080,-18.270,-6.860,6.580
48.077,-0.406016,-1.064816,-0.085888,-22.680,-6.860,5.180
57.692,-0.430416,-1.084824,-0.092232,-27.510,-8.820,3.570
67.308,-0.461160,-1.108736,-0.095160,-31.780,-11.270,2.100
76.923,-0.470432,-1.121424,-0.104920,-36.540,-12.670,0.630
86.538,-0.493368,-1.134600,-0.112728,-43.820,-12.110,-3.150
96.154,-0.479216,-1.132160,-0.124928,-47.530,-11.130,-6.090
105.769,-0.452864,-1.120448,-0.139568,-49.770,-10.570,-11.200
115.385,-0.425048,-1.128744,-0.154208,-52.290,-10.430,-17.640
125.000,-0.507520,-1.130696,-0.150304,-53.200,-12.040,-24.500
134.615,-0.499712,-1.097024,-0.118584,-52.290,-13.230,-29.960
144.231,-0.450912,-1.099464,-0.120048,-49.350,-12.320,-36.260
153.846,-0.493856,-1.113616,-0.145912,-45.360,-11.830,-44.170
163.462,-0.501664,-1.167296,-0.233752,-41.930,-12.880,-60.970
173.077,-0.533872,-1.211704,-0.267424,-39.270,-20.300,-69.720
182.692,-0.565592,-1.260504,-0.322568,-40.040,-22.050,-76.230
192.308,-0.598288,-1.305400,-0.332816,-40.950,-19.460,-81.270
201.923,-0.624152,-1.370792,-0.349408,-41.720,-15.120,-84.630
211.538,-0.664656,-1.443016,-0.388936,-42.140,-11.200,-87.920
221.154,-0.729072,-1.557208,-0.415776,-43.400,-7.630,-91.280
230.769,-0.857416,-1.811944,-0.451400,-45.920,-0.910,-94.500
240.385,-0.819840,-1.859280,-0.389424,-56.840,12.040,-104.860
250.000,-0.697840,-1.867088,-0.282064,-62.860,19.390,-116.410
259.615,-0.663680,-1.831952,-0.253272,-66.010,30.100,-134.610
269.231,-0.573400,-1.769488,-0.236680,-70.000,38.080,-157.500
278.846,-0.558272,-1.625528,-0.185440,-73.360,39.480,-183.540
288.462,-0.546072,-1.576240,-0.167872,-76.160,35.490,-208.880
298.077,-0.445544,-1.340536,-0.035136,-79.100,28.490,-247.310
307.692,-0.381616,-1.221464,0.018544,-77.560,19.740,-260.540
317.308,-0.301584,-1.133624,0.020008,-74.550,17.010,-270.200
326.923,-0.205936,-1.059936,0.029768,-69.650,13.860,-278.250
336.538,-0.157136,-0.906704,0.102968,-63.210,14.770,-282.310
346.154,-0.158600,-0.673440,0.091256,-55.020,25.550,-280.210
355.769,-0.111264,-0.559736,0.046848,-47.460,38.220,-274.330
365.385,-0.029768,-0.348432,0.031720,-41.370,42.560,-266.560
375.000,0.050752,-0.227896,0.032208,-33.320,35.840,-246.470
384.615,0.125904,-0.123464,0.018544,-31.850,32.410,-236.810
394.231,0.194712,-0.029280,0.017080,-30.450,26.950,-229.460
403.846,0.224480,0.054656,-0.009760,-29.680,21.350,-222.670
413.462,0.253272,0.131272,-0.059536,-29.890,17.360,-213.080
423.077,0.287432,0.224968,-0.124928,-32.410,16.730,-201.250
432.692,0.310368,0.326960,-0.189832,-37.450,17.360,-186.620
442.308,0.324520,0.426024,-0.256200,-43.890,16.660,-168.910
451.923,0.348432,0.563640,-0.317200,-51.100,13.930,-148.330
461.538,0.399672,0.734928,-0.442128,-58.940,9.800,-125.370
471.154,0.499224,0.911584,-0.558760,-67.900,8.890,-100.730
480.769,0.578768,1.077992,-0.661728,-76.160,15.680,-73.920
490.385,0.450424,1.379088,-0.819840,-85.750,35.070,-2.240
500.000,0.306952,1.567456,-0.889624,-84.770,40.180,48.440
509.615,0.210328,1.699216,-1.030168,-80.640,44.940,110.110
519.231,0.206424,1.741184,-1.063840,-75.670,56.070,181.440
528.846,0.073688,1.692384,-1.042368,-69.580,73.360,258.510
538.462,-0.061000,1.585024,-1.004792,-62.790,87.360,339.780
548.077,-0.112728,1.421544,-0.984784,-57.820,102.130,420.840
557.692,-0.300608,0.778848,-1.127768,-60.130,127.680,499.590
567.308,-0.805200,0.378688,-1.037488,-103.110,194.880,657.440
576.923,-1.254160,-0.094672,-0.690520,-134.680,204.400,734.650
586.538,-1.897344,-0.600240,-0.285480,-154.980,180.180,811.790
