timestamp,Ax,Ay,Az,Gx,Gy,Gz
0.000,-0.646600,0.276208,0.887672,-2.100,4.760,37.870
9.615,-0.671976,0.296216,0.878400,-3.850,8.330,44.170
19.231,-0.689056,0.327448,0.878400,-6.580,13.790,51.870
28.846,-0.715408,0.349408,0.905240,-9.800,20.650,59.850
38.462,-0.769088,0.371368,0.933544,-12.810,29.680,69.020
48.077,-0.931104,0.444568,0.967704,-15.610,38.710,80.570
57.692,-1.013088,0.511424,0.963800,-23.170,58.520,113.330
67.308,-1.101416,0.597800,0.950624,-30.660,72.870,134.050
76.923,-1.187792,0.689544,0.916464,-41.160,88.550,155.820
86.538,-1.261480,0.776408,0.927200,-55.230,102.480,178.080
96.154,-1.290760,0.872056,1.004304,-69.510,113.610,199.640
105.769,-1.297592,0.917928,1.107272,-80.850,120.820,218.890
115.385,-1.269776,1.076528,1.424960,-86.310,122.990,234.710
125.000,-1.180472,1.152168,1.529880,-77.280,95.760,251.720
134.615,-1.123864,1.261968,1.527928,-65.380,69.650,250.250
144.231,-1.117520,1.395192,1.517192,-53.620,44.520,242.970
153.846,-1.092632,1.495232,1.455704,-42.490,20.160,232.890
163.462,-1.031632,1.562576,1.378112,-33.110,-0.630,220.640
173.077,-0.951600,1.641144,1.324432,-25.270,-12.530,204.330
182.692,-0.884744,1.820240,1.332240,-17.850,-19.250,182.910
192.308,-0.800808,1.911496,1.297592,4.830,-37.730,130.200
201.923,-0.757864,2.028128,1.189744,17.570,-51.100,100.310
211.538,-0.683688,2.156960,1.055056,27.440,-72.170,63.000
221.154,-0.618296,2.279448,0.859856,30.380,-97.510,14.490
230.769,-0.432368,2.339960,0.609512,24.430,-125.790,-50.680
240.385,-0.284992,2.155496,0.402600,7.700,-156.800,-137.970
250.000,-0.142984,2.138416,0.505080,-14.140,-179.970,-245.000
259.615,-0.010736,1.514752,0.836432,-30.240,-157.850,-516.950
269.231,0.094184,1.013088,0.946232,-22.470,-4.760,-677.740
278.846,0.071248,0.609512,1.154608,5.320,113.750,-849.870
288.462,0.009760,0.201544,1.307840,50.680,237.930,-1023.260
298.077,-0.005856,-0.104920,1.413248,107.590,335.930,-1189.790
307.692,-0.130784,-0.299632,1.241960,166.600,414.190,-1345.820
317.308,-0.514352,-0.302072,0.992592,216.930,471.800,-1490.720
326.923,-1.199992,-0.044408,0.948184,251.230,493.150,-1619.520
336.538,-3.296440,1.581120,1.649928,253.540,424.550,-1775.620
346.154,-4.073824,1.795840,1.674328,203.910,303.100,-1772.470
355.769,-4.418352,2.029104,2.088152,121.870,147.140,-1720.040
365.385,-4.104080,1.797792,2.480504,47.950,1.260,-1621.410
375.000,-3.555568,1.597224,2.176480,-0.070,-80.150,-1473.150
384.615,-2.971920,2.133536,1.199992,-30.870,-100.450,-1294.230
394.231,-1.262944,2.643496,0.745664,-33.530,27.230,-920.710
403.846,-1.037000,2.759152,0.519232,-11.900,121.800,-754.110
413.462,0.203008,3.044632,0.579256,4.200,127.960,-601.090
423.077,0.351360,3.030968,0.543632,12.040,67.830,-473.620
432.692,0.656848,2.926048,0.138104,11.900,-2.380,-330.330
442.308,-0.480192,2.321904,-0.070272,-0.910,-21.280,-171.430
451.923,0.010248,1.928576,0.020008,-27.650,-39.690,9.870
461.538,0.324032,1.310280,0.187880,-70.630,20.300,141.750
471.154,0.646600,0.252784,0.979904,-133.070,76.230,205.450
480.769,0.665144,0.022448,1.302472,-255.290,60.550,192.080
490.385,0.787144,0.034160,1.267336,-284.900,16.100,158.830
500.000,0.818376,0.128832,1.104344,-290.290,-26.670,130.900
509.615,0.886208,0.260592,0.957944,-274.540,-54.390,116.130
519.231,0.953064,0.362584,0.821304,-243.180,-66.710,111.510
528.846,0.986736,0.423096,0.718824,-202.720,-69.020,110.460
538.462,0.988688,0.418704,0.590480,-159.880,-69.300,109.550
548.077,0.944280,0.226920,0.321104,-120.470,-71.190,108.920
557.692,0.829112,0.090280,0.215208,-65.590,-73.360,115.220
567.308,0.775920,-0.059536,0.207400,-50.750,-70.630,119.210
576.923,0.762744,-0.195200,0.230824,-40.740,-65.310,120.540
586.538,0.744200,-0.309880,0.252296,-35.000,-61.180,118.930
