timestamp,Ax,Ay,Az,Gx,Gy,Gz
0.000,-0.901336,-0.297192,-0.013664,-10.430,8.330,3.640
9.615,-0.931104,-0.310368,-0.017080,-11.550,10.010,3.150
19.231,-0.956480,-0.280600,-0.034648,-12.250,9.450,2.800
28.846,-0.957456,-0.319152,-0.021960,-12.810,7.420,3.010
38.462,-1.006744,-0.322568,-0.017080,-12.670,5.670,3.360
48.077,-0.996984,-0.319640,-0.014640,-12.250,4.480,4.690
57.692,-0.992592,-0.331840,0.002440,-12.320,3.990,5.180
67.308,-0.960872,-0.292312,-0.005856,-11.620,4.830,4.970
76.923,-0.960872,-0.251808,0.023424,-9.800,5.740,3.920
86.538,-0.948672,-0.229848,0.020496,-7.840,6.650,2.590
96.154,-0.935984,-0.214232,0.024888,-6.160,7.630,1.330
105.769,-0.952088,-0.195200,0.038064,-3.990,9.100,0.420
115.385,-0.979416,-0.191784,0.042456,-1.260,9.380,0.280
125.000,-1.012112,-0.195688,0.046848,1.400,7.910,0.770
134.615,-1.034072,-0.173728,0.050264,5.040,5.950,1.960
144.231,-1.057496,-0.140056,0.046848,8.680,4.760,3.360
153.846,-1.076528,-0.091256,0.050752,13.790,1.120,4.060
163.462,-1.130208,-0.006832,0.056120,20.860,-7.490,3.360
173.077,-1.167784,0.117120,0.035624,30.030,-17.920,3.080
182.692,-1.132648,0.183976,-0.035624,41.790,-23.590,6.650
192.308,-1.226832,0.432368,-0.121512,61.320,-18.760,15.610
201.923,-1.306376,0.912560,-0.350384,84.980,-13.300,24.780
211.538,-1.365912,1.124352,-0.474824,130.410,-17.920,30.240
221.154,-1.462048,1.331752,-0.556320,155.050,-20.020,28.350
230.769,-1.539152,1.600152,-0.668072,186.550,-21.560,24.220
240.385,-1.556720,1.795352,-0.601216,228.900,-26.810,16.800
250.000,-1.692384,1.912960,-0.573888,287.280,-27.440,6.650
259.615,-1.885632,1.901248,-0.520208,358.960,-12.740,0.070
269.231,-2.060824,1.740208,-0.551440,438.480,21.000,2.310
278.846,-2.335080,1.692872,-0.717848,515.130,74.200,16.100
288.462,-2.284816,1.773392,-0.693448,621.530,238.910,72.310
298.077,-2.316536,1.819752,-0.369904,650.090,327.810,108.780
307.692,-2.081808,2.006168,0.289872,674.870,418.390,149.100
317.308,-1.953952,1.954928,1.022848,706.300,508.900,187.040
326.923,-1.898808,2.043256,1.515240,746.200,570.710,220.920
336.538,-1.763632,1.775832,2.004704,788.830,570.640,245.210
346.154,-1.755336,1.727520,1.819752,862.960,351.400,236.670
355.769,-1.590880,1.598688,1.687016,879.200,197.540,203.630
365.385,-1.568432,1.468392,1.537200,881.020,75.180,152.040
375.000,-1.622600,1.385920,1.403488,870.100,-9.380,93.520
384.615,-1.462048,1.254160,1.286368,847.840,-69.160,38.290
394.231,-0.816424,1.126304,1.154608,814.590,-128.660,-75.950
403.846,-0.603656,0.996496,1.146800,726.040,-118.790,-128.590
413.462,-0.610976,1.052128,1.162904,674.520,-69.510,-175.000
423.077,-0.974536,0.882304,1.338584,618.660,-6.720,-197.330
432.692,-1.171200,0.583648,1.378600,559.930,51.520,-178.290
442.308,-1.320040,0.392352,1.426424,492.450,97.790,-127.120
451.923,-1.032120,0.078568,1.814384,331.870,54.950,-12.460
461.538,-0.912560,-0.022448,1.690432,247.940,-12.880,21.210
471.154,-0.967704,0.076128,1.271728,159.250,-76.160,40.740
480.769,-1.005768,-0.076616,0.810568,65.170,-119.910,56.560
490.385,-0.907192,-0.133712,0.589992,-23.730,-133.560,73.570
500.000,-0.806176,-0.205448,0.499712,-94.360,-110.880,85.820
509.615,-0.746152,-0.342576,0.540216,-142.800,-64.890,90.580
519.231,-0.736392,-0.439688,0.809592,-165.970,-17.640,88.830
528.846,-0.701744,-0.494344,0.857904,-144.410,34.580,69.930
538.462,-0.772016,-0.477264,0.835456,-113.470,35.280,53.410
548.077,-0.826184,-0.494344,0.773480,-79.380,20.650,36.820
557.692,-0.890600,-0.503128,0.710528,-46.620,-5.810,23.100
567.308,-0.918416,-0.482144,0.606096,-18.060,-36.750,13.580
576.923,-0.875960,-0.466528,0.521672,3.080,-63.350,7.700
586.538,-0.862296,-0.424072,0.435784,16.240,-77.840,3.290
