timestamp,Ax,Ay,Az,Gx,Gy,Gz
0.000,-0.180072,-0.530944,1.023336,3.360,13.650,-53.760
9.615,-0.133224,-0.550952,1.002352,-0.350,12.810,-52.290
19.231,-0.074176,-0.573400,1.004792,-4.550,11.270,-50.820
28.846,-0.004880,-0.598776,0.998936,-8.470,9.240,-49.490
38.462,0.059536,-0.634888,0.988688,-11.970,9.170,-48.370
48.077,0.165920,-0.670024,0.955504,-15.540,10.990,-47.040
57.692,0.285480,-0.721264,0.914512,-19.390,13.160,-46.970
67.308,0.385032,-0.793000,0.919392,-23.450,17.570,-47.880
76.923,0.461648,-0.871568,0.942328,-26.180,24.570,-48.860
86.538,0.562664,-0.961848,0.962336,-27.370,29.960,-49.210
96.154,0.650016,-1.076528,1.002352,-27.370,32.270,-48.230
105.769,0.716384,-1.177056,1.107272,-24.990,31.640,-45.360
115.385,0.912560,-1.387872,1.229760,-19.320,23.870,-40.250
125.000,1.009672,-1.376648,1.205360,-4.060,-0.910,-25.760
134.615,1.105808,-1.307352,1.176080,3.220,-6.580,-17.220
144.231,1.180472,-1.196088,1.022848,7.070,0.980,-10.080
153.846,1.234152,-1.130208,0.898896,4.060,20.160,-4.410
163.462,1.255624,-1.016992,0.776896,-5.320,40.670,-1.260
173.077,1.215608,-0.867664,0.730048,-17.430,50.820,-0.910
182.692,1.136552,-0.759816,0.669536,-28.700,53.550,-1.540
192.308,0.990152,-0.653920,0.666608,-36.890,60.690,2.030
201.923,0.756400,-0.534360,0.797392,-36.190,75.110,12.250
211.538,0.563640,-0.404552,0.780800,-24.150,95.900,30.030
221.154,0.451888,-0.271816,0.547048,-8.540,123.340,52.290
230.769,0.305488,-0.111752,0.299632,0.700,152.810,73.780
240.385,0.122000,0.060024,0.233264,3.570,167.860,92.050
250.000,-0.068808,0.259128,0.246440,8.890,164.500,107.240
259.615,-0.347944,0.500688,0.215696,20.300,157.010,123.410
269.231,-0.773968,0.701256,0.105408,35.770,159.740,146.160
278.846,-1.111664,0.869128,-0.029280,50.260,173.110,176.680
288.462,-1.144848,1.119472,-0.092232,60.690,191.170,202.580
298.077,-1.167296,1.557208,0.175192,69.790,212.450,207.900
307.692,-1.582096,1.426424,0.220088,101.150,246.890,170.170
317.308,-1.788032,1.182912,0.237656,113.190,263.410,154.210
326.923,-1.925648,0.883280,0.185928,112.280,281.820,147.560
336.538,-1.909056,0.777872,-0.019032,95.130,298.340,146.510
346.154,-1.968592,0.708576,-0.061488,62.020,287.280,140.910
355.769,-2.050576,0.527040,0.276696,27.160,230.440,125.720
365.385,-1.547448,0.391864,0.898408,14.070,140.630,100.170
375.000,-1.010648,0.394792,1.346880,38.920,58.310,54.880
384.615,-1.083848,0.388448,1.322968,91.000,11.760,-0.350
394.231,-1.371280,0.243024,1.028216,138.530,2.800,-37.590
403.846,-1.370304,0.210328,0.722240,159.530,3.920,-49.560
413.462,-1.184376,0.234240,0.385520,150.290,-10.640,-51.100
423.077,-1.032120,0.237168,0.140544,115.080,-23.520,-48.650
432.692,-0.940864,0.107360,-0.020496,63.980,-16.730,-40.180
442.308,-1.173640,0.042944,0.195200,-42.140,16.310,0.700
451.923,-1.148752,0.061488,0.460184,-73.220,15.120,26.040
461.538,-1.029192,0.045384,0.640744,-83.020,6.510,41.230
471.154,-1.034072,0.015616,0.604632,-77.000,-0.910,45.990
480.769,-1.062376,-0.036600,0.457256,-66.430,-2.520,44.730
490.385,-1.101904,-0.065392,0.342088,-59.080,0.980,41.370
500.000,-1.052616,-0.064416,0.292312,-54.950,7.770,35.210
509.615,-0.986736,-0.063440,0.295728,-51.800,13.790,23.590
519.231,-0.967704,-0.078080,0.314272,-47.880,18.130,7.490
528.846,-1.008696,-0.091256,0.306464,-42.490,21.630,-8.330
538.462,-1.055544,-0.082960,0.320128,-36.680,24.220,-19.530
548.077,-1.080432,-0.081984,0.368928,-29.960,23.940,-25.970
557.692,-1.123376,-0.076616,0.416264,-22.190,21.280,-27.510
567.308,-1.133136,-0.066368,0.436272,-13.650,17.640,-24.710
576.923,-1.111176,-0.059048,0.433344,-6.720,11.830,-20.230
586.538,-1.075552,-0.032696,0.391376,-2.870,3.990,-16.800
