timestamp,Ax,Ay,Az,Gx,Gy,Gz
0.000,-0.988688,0.652944,-0.184952,30.030,-58.590,2.030
9.615,-1.074088,0.705160,-0.133224,34.090,-59.710,2.590
19.231,-1.160952,0.738344,-0.072224,38.850,-62.160,2.940
28.846,-1.229760,0.759816,-0.005856,43.190,-63.350,3.150
38.462,-1.302960,0.747128,0.097112,47.320,-63.840,2.170
48.077,-1.385920,0.702720,0.321592,51.450,-61.740,0.070
57.692,-1.517680,0.678320,0.405528,57.540,-63.420,-10.780
67.308,-1.604056,0.705648,0.477752,57.470,-73.500,-20.300
76.923,-1.715808,0.755424,0.574376,56.490,-86.590,-31.990
86.538,-1.780224,0.787632,0.645624,54.180,-96.740,-42.980
96.154,-1.837808,0.887672,0.672464,49.210,-104.020,-52.710
105.769,-1.852448,0.988688,0.724192,40.390,-113.680,-63.350
115.385,-1.912960,1.062864,0.795440,28.560,-124.180,-75.390
125.000,-1.939800,1.271728,0.869616,14.490,-143.360,-100.870
134.615,-1.967128,1.374208,0.914512,-20.790,-151.340,-113.120
144.231,-1.962736,1.506456,0.861320,-40.600,-154.700,-123.620
153.846,-1.983232,1.629920,0.923296,-63.070,-156.660,-133.840
163.462,-2.012512,1.791936,0.956480,-83.580,-157.360,-143.500
173.077,-2.021296,1.954928,0.872544,-104.230,-163.590,-153.090
182.692,-2.096936,2.202832,0.844240,-151.690,-204.820,-169.960
192.308,-2.114992,2.399008,0.795440,-171.990,-229.110,-171.010
201.923,-2.088152,2.618120,0.672464,-189.210,-254.800,-168.630
211.538,-2.044720,2.807464,0.382104,-207.480,-273.630,-164.080
221.154,-2.003240,2.968016,0.052216,-235.130,-280.910,-157.990
230.769,-1.931992,3.192984,-0.489464,-275.660,-275.800,-151.130
240.385,-1.967128,3.205184,-0.663680,-388.220,-254.450,-144.830
250.000,-2.025688,3.255936,-0.845704,-453.110,-251.860,-145.180
259.615,-2.066680,3.363296,-1.034560,-521.500,-258.930,-149.450
269.231,-2.053016,3.429664,-1.233664,-592.900,-262.640,-158.760
278.846,-1.687016,3.525800,-1.540616,-668.150,-255.850,-174.510
288.462,-1.470832,3.479440,-1.537688,-820.330,-196.210,-242.760
298.077,-1.342000,3.323280,-1.469856,-885.710,-136.990,-297.780
307.692,-1.389336,3.073424,-1.401048,-940.660,-70.420,-362.740
317.308,-1.602104,2.721088,-1.160464,-983.990,-18.410,-427.630
326.923,-2.011536,2.150616,-0.621712,-1025.570,33.460,-516.110
336.538,-2.068632,1.965664,-0.289384,-1021.720,43.050,-534.520
346.154,-1.952000,1.820728,0.008296,-997.220,49.280,-541.100
355.769,-1.729960,1.768024,0.264008,-952.700,48.300,-543.690
365.385,-1.357128,1.682624,0.430904,-890.820,45.080,-545.510
375.000,-1.018456,1.590392,0.645624,-814.800,36.610,-549.850
384.615,-1.060424,1.627968,0.618784,-629.720,-1.820,-532.630
394.231,-0.947696,1.676280,0.480192,-540.470,-34.930,-497.350
403.846,-0.832528,1.676280,0.367464,-458.290,-68.460,-452.900
413.462,-0.696864,1.762656,0.130296,-386.540,-95.060,-402.990
423.077,-0.516792,1.842200,-0.210816,-330.960,-123.340,-353.780
432.692,-0.402112,1.828048,-0.442616,-293.300,-157.430,-312.480
442.308,-0.325984,1.662616,-0.766648,-269.710,-195.230,-236.040
451.923,-0.291336,1.573312,-0.746152,-248.290,-180.670,-199.150
461.538,-0.375760,1.506944,-1.005280,-243.600,-155.540,-168.630
471.154,-0.461648,1.377624,-1.198040,-249.690,-128.380,-140.140
480.769,-0.632448,1.277584,-1.301984,-264.320,-96.530,-113.890
490.385,-0.498248,1.232200,-1.106296,-282.100,-59.080,-87.850
500.000,-0.557784,1.089704,-1.201944,-292.950,7.630,-61.460
509.615,-0.416264,1.015040,-1.022848,-289.590,31.010,-52.640
519.231,-0.363072,0.993568,-0.817400,-272.370,54.180,-50.330
528.846,-0.325984,0.979416,-0.752496,-241.500,75.810,-52.640
538.462,-0.387472,0.964288,-0.729072,-204.680,81.550,-57.610
548.077,-0.401624,0.988688,-0.729560,-165.410,71.470,-60.060
557.692,-0.407968,1.150216,-0.832528,-127.260,52.990,-60.270
567.308,-0.465552,1.169736,-0.973072,-60.340,-0.070,-52.920
576.923,-0.433832,1.181448,-1.096048,-36.610,-28.980,-43.190
586.538,-0.390888,1.173640,-1.197064,-20.090,-47.880,-31.710
