timestamp,Ax,Ay,Az,Gx,Gy,Gz
0.000,-1.030168,-0.052216,0.096136,-3.430,-4.760,9.940
9.615,-1.084336,-0.019032,0.174216,-0.700,-6.860,10.640
19.231,-1.109712,0.013176,0.280112,5.040,-11.760,12.110
28.846,-1.129232,0.061000,0.406992,14.000,-15.680,13.230
38.462,-1.177056,0.109800,0.518744,26.600,-18.690,13.650
48.077,-1.216584,0.163968,0.627080,40.180,-22.540,13.860
57.692,-1.241472,0.221552,0.716384,53.410,-27.860,13.510
67.308,-1.249768,0.287920,0.781776,63.630,-35.000,11.900
76.923,-1.244888,0.366976,0.814472,70.070,-45.430,9.170
86.538,-1.252696,0.469456,0.829600,70.980,-56.770,6.440
96.154,-1.259040,0.681736,0.896456,66.010,-65.240,4.270
105.769,-1.293200,0.790072,0.942816,42.350,-76.720,1.610
115.385,-1.287832,0.917440,0.994056,26.950,-83.020,-0.350
125.000,-1.264408,1.039928,1.021872,9.240,-93.240,-3.570
134.615,-1.309304,1.155584,1.001864,-10.010,-106.540,-6.510
144.231,-1.366888,1.272216,0.934032,-33.110,-118.020,-4.900
153.846,-1.410320,1.375184,0.845216,-62.020,-125.020,1.750
163.462,-1.464000,1.471320,0.724680,-96.460,-132.230,11.620
173.077,-1.531344,1.592344,0.597312,-136.290,-141.540,23.450
182.692,-1.639192,1.699704,0.507032,-179.760,-151.970,35.980
192.308,-1.776808,1.819264,0.439688,-223.440,-166.320,49.140
201.923,-2.160376,2.176480,0.467992,-264.530,-187.390,73.290
211.538,-2.398520,2.417064,0.472384,-325.430,-256.270,85.330
221.154,-2.676192,2.724992,0.237656,-346.010,-306.600,100.100
230.769,-2.903112,2.922144,-0.179096,-372.050,-365.470,119.070
240.385,-3.079768,3.111976,-0.692960,-414.190,-420.770,146.020
250.000,-3.205672,3.234464,-1.195600,-478.240,-454.020,181.720
259.615,-3.240808,3.272528,-1.563552,-562.100,-456.400,224.210
269.231,-3.275456,3.237392,-1.736792,-656.950,-435.330,267.750
278.846,-3.273016,3.188592,-1.688968,-835.940,-385.070,334.180
288.462,-3.246664,3.119784,-1.682136,-909.300,-357.840,353.220
298.077,-3.102216,2.998272,-1.667984,-975.030,-326.690,366.310
307.692,-2.981192,2.867488,-1.553792,-1033.130,-299.110,371.770
317.308,-2.882128,2.772816,-1.366888,-1077.930,-282.940,372.960
326.923,-2.815760,2.676680,-0.794464,-1104.040,-284.620,376.460
336.538,-2.866024,2.634712,-0.476776,-1085.910,-349.930,408.660
346.154,-2.797216,2.650328,-0.318176,-1038.380,-401.590,440.300
355.769,-2.566392,2.504416,-0.475312,-978.390,-429.800,473.200
365.385,-2.134512,2.400960,-0.680760,-923.930,-418.950,496.790
375.000,-1.620160,2.114992,-0.702720,-881.300,-355.390,493.010
384.615,-1.330776,1.863184,-0.671976,-846.930,-259.140,458.780
394.231,-1.543056,1.615768,-0.349896,-785.260,-107.800,348.740
403.846,-1.736304,1.532808,-0.220088,-745.360,-86.310,304.850
413.462,-1.752408,1.455704,-0.131760,-693.070,-86.520,273.490
423.077,-1.672864,1.410320,-0.117120,-632.100,-96.880,246.750
432.692,-1.487424,1.306376,-0.183000,-566.440,-109.270,219.240
442.308,-1.245376,1.178032,-0.230336,-500.290,-115.500,186.970
451.923,-1.095560,1.069696,-0.236192,-436.030,-107.940,149.030
461.538,-1.005768,0.850096,-0.190320,-374.710,-79.380,75.810
471.154,-1.063352,0.972584,-0.031720,-263.900,-73.150,49.910
480.769,-0.825208,1.128744,-0.532408,-191.660,43.610,36.750
490.385,-1.110200,0.683688,-1.307840,-107.170,215.180,20.300
500.000,-1.388360,0.872056,-1.042856,-71.680,167.720,16.590
509.615,-1.244400,0.843752,-0.544608,-46.130,95.760,23.660
519.231,-1.205848,0.708088,-0.233752,-20.370,54.530,20.300
528.846,-1.241472,0.438224,-0.146888,-1.610,29.330,7.140
538.462,-1.173152,0.355752,-0.055632,6.580,7.210,-6.300
548.077,-1.105320,0.281576,0.034160,10.010,-11.480,-19.600
557.692,-1.079456,0.239608,0.110776,10.920,-31.080,-29.890
567.308,-0.983320,0.179096,0.177632,11.340,-47.180,-34.230
576.923,-0.920856,0.089792,0.178120,10.780,-52.080,-33.880
586.538,-0.943792,-0.000976,0.154208,8.680,-35.490,-28.210
