timestamp,Ax,Ay,Az,Gx,Gy,Gz
0.000,0.199104,-0.173728,-0.481168,220.360,19.460,-87.920
9.615,-0.206424,-0.085888,-0.377712,200.760,2.100,-82.320
19.231,-0.162504,-0.131760,-0.350872,194.950,7.070,-72.310
28.846,0.048312,-0.165432,-0.393816,190.470,15.680,-64.540
38.462,0.271816,-0.095160,-0.473360,183.890,24.290,-62.720
48.077,0.287432,-0.099064,-0.647088,174.370,31.640,-66.220
57.692,0.150304,-0.116144,-0.579744,161.000,36.680,-70.980
67.308,-0.124928,-0.182512,-0.393328,150.150,39.690,-74.270
76.923,-1.356152,-0.542656,0.123952,147.000,42.350,-65.940
86.538,-1.058960,-1.020896,0.012688,154.700,52.570,-30.380
96.154,-0.554856,-1.045296,-0.033672,160.510,85.330,6.580
105.769,-0.158112,-0.722728,-0.283528,164.010,145.600,38.570
115.385,-0.469456,-0.392352,-0.254736,161.490,211.400,66.080
125.000,-0.526552,-0.327448,-0.119560,158.900,256.970,96.670
134.615,-0.553392,-0.539728,0.107848,158.900,272.370,125.790
144.231,-0.635864,-0.722728,-0.030256,159.740,246.750,150.920
153.846,-0.518744,-0.667096,0.191296,155.470,203.280,189.770
163.462,-0.423096,-0.591456,0.275720,160.790,199.360,196.840
173.077,-0.335256,-0.476288,0.256200,168.280,208.530,194.670
182.692,-0.243512,-0.346968,0.283528,175.490,227.360,185.710
192.308,-0.165920,-0.225456,0.220576,182.840,249.690,170.800
201.923,-0.287432,-0.245464,0.121512,187.320,271.740,155.330
211.538,-0.491416,-0.262544,0.045384,187.810,290.710,148.120
221.154,-0.650504,-0.253760,0.159576,187.390,303.730,152.320
230.769,-0.793000,-0.216672,0.383568,193.830,308.980,166.040
240.385,-0.876936,-0.216672,0.558272,211.330,306.880,187.250
250.000,-0.931592,-0.247904,0.764208,237.370,297.010,213.010
259.615,-0.831064,-0.239608,0.765184,300.860,254.240,265.720
269.231,-0.743712,-0.164944,0.725656,329.630,229.320,284.830
278.846,-0.733464,-0.129320,0.715408,353.290,212.520,296.310
288.462,-0.854976,-0.125416,0.733952,372.890,203.210,304.570
298.077,-1.004304,-0.139080,0.805200,390.390,194.950,312.830
307.692,-1.077504,-0.122488,0.904752,408.030,187.880,322.840
317.308,-1.013088,-0.057096,0.862296,424.620,185.570,332.010
326.923,-1.054080,0.035624,0.838384,434.840,186.830,336.630
336.538,-1.111664,0.141520,0.642696,437.290,192.290,340.760
346.154,-1.101416,0.239608,0.496296,410.970,214.900,353.290
355.769,-1.259040,0.408944,0.463112,381.990,215.810,357.700
365.385,-1.478640,0.524112,0.572424,350.280,196.350,360.920
375.000,-1.524024,0.613904,0.668560,323.610,156.870,364.280
384.615,-1.539152,0.688568,0.806176,303.800,104.370,363.090
394.231,-1.517192,0.708576,0.859368,291.620,48.860,356.090
403.846,-1.352248,0.749568,0.772992,283.080,0.350,343.980
413.462,-1.158512,0.774944,0.884744,276.430,-28.910,324.940
423.077,-1.423496,0.814472,0.394304,273.840,-32.760,304.570
432.692,-0.998448,1.188280,0.129808,247.800,-18.550,286.440
442.308,-1.063352,1.183400,0.366976,178.150,87.150,262.570
451.923,-1.259040,1.214144,0.433832,153.930,152.880,246.190
461.538,-1.478152,1.120936,0.543144,137.200,195.020,237.370
471.154,-1.441552,1.160952,0.913048,130.060,215.320,236.880
480.769,-1.531832,1.048712,1.129720,139.090,220.150,235.760
490.385,-1.571360,0.958432,1.268800,160.790,197.260,233.030
500.000,-1.511824,0.918416,1.137528,187.530,150.010,224.700
509.615,-1.375184,0.862784,0.978928,207.200,97.720,206.780
519.231,-1.523536,0.434320,1.337608,224.770,35.140,164.570
528.846,-1.377136,0.492880,-0.094184,273.910,18.550,155.820
538.462,-1.227808,0.615856,-0.446520,250.110,24.710,152.950
548.077,-0.922320,0.749080,-0.498736,199.500,35.140,153.020
557.692,-0.668072,0.885720,-0.534360,150.500,47.950,145.320
567.308,-0.695400,0.899384,-0.508008,104.580,58.520,129.570
576.923,-0.870104,0.860832,-0.319152,63.770,62.300,113.190
586.538,-1.090192,0.751032,-0.142496,32.200,64.400,101.850
