timestamp,Ax,Ay,Az,Gx,Gy,Gz
0.000,-0.098088,0.780800,1.056520,50.680,23.940,0.910
9.615,-0.156648,0.825696,1.090192,39.550,14.140,-4.340
19.231,-0.231800,0.898896,1.094096,28.630,3.360,-5.880
28.846,-0.279624,0.956480,1.070672,17.150,-7.420,-2.730
38.462,-0.285480,1.025776,1.030656,4.480,-16.590,3.990
48.077,-0.281088,1.070184,1.052128,-9.170,-18.760,12.810
57.692,-0.282064,1.103856,1.097024,-21.210,-9.240,22.190
67.308,-0.284016,1.142408,1.108248,-31.150,11.550,31.290
76.923,-0.281088,1.173640,1.097024,-39.830,37.800,39.130
86.538,-0.308904,1.210240,1.058472,-49.210,63.140,44.940
96.154,-0.362584,1.240496,1.010160,-60.830,83.020,49.980
105.769,-0.406992,1.269288,1.004792,-75.250,96.530,54.740
115.385,-0.446520,1.355176,1.043832,-91.140,105.210,58.240
125.000,-0.482632,1.393240,1.086288,-120.400,106.120,56.490
134.615,-0.526552,1.438136,1.126792,-131.950,94.920,51.590
144.231,-0.585600,1.491328,1.183400,-140.770,75.530,45.780
153.846,-0.647088,1.598688,1.265384,-146.020,52.640,39.830
163.462,-0.693448,1.740696,1.268312,-149.240,32.270,35.840
173.077,-0.713944,1.811456,1.173152,-153.930,17.150,34.370
182.692,-0.687592,1.842200,1.024800,-165.550,5.040,34.370
192.308,-0.652944,1.875872,0.877424,-186.410,-4.690,33.880
201.923,-0.612928,1.899296,0.795440,-214.690,-10.920,31.780
211.538,-0.602192,1.919304,0.767624,-246.540,-14.280,27.790
221.154,-0.590968,1.909544,0.740784,-277.620,-18.200,22.400
230.769,-0.555832,1.912960,0.749080,-328.440,-40.040,10.570
240.385,-0.543632,1.890512,0.729072,-344.470,-55.720,4.900
250.000,-0.549488,1.852448,0.687104,-355.110,-70.770,0.840
259.615,-0.542168,1.784128,0.636840,-362.460,-83.930,0.420
269.231,-0.537288,1.712392,0.590968,-367.080,-90.860,2.100
278.846,-0.516792,1.611864,0.529968,-370.160,-91.280,6.160
288.462,-0.462624,1.481080,0.451400,-372.610,-87.640,10.850
298.077,-0.411384,1.361032,0.375272,-375.130,-81.410,14.210
307.692,-0.361120,1.247816,0.290360,-378.210,-74.690,15.820
317.308,-0.317688,1.127768,0.213256,-381.990,-69.440,15.680
326.923,-0.276696,1.011624,0.153232,-386.120,-65.310,14.630
336.538,-0.211304,0.796904,0.055144,-389.410,-59.500,12.110
346.154,-0.197152,0.696864,0.034648,-391.370,-43.190,5.670
355.769,-0.194712,0.610976,0.021960,-388.010,-34.160,2.240
365.385,-0.188368,0.531432,0.002928,-382.340,-25.200,-0.770
375.000,-0.184464,0.441152,-0.006344,-375.900,-16.590,-2.590
384.615,-0.179584,0.375760,-0.050264,-368.200,-7.770,-4.200
394.231,-0.154696,0.293776,-0.059536,-360.360,1.820,-5.600
403.846,-0.157624,0.203984,-0.064416,-351.190,14.000,-7.210
413.462,-0.136640,0.115168,-0.014152,-339.150,29.960,-8.470
423.077,-0.124928,0.025376,0.041480,-322.840,50.120,-9.800
432.692,-0.113216,0.012688,0.041968,-302.750,73.570,-11.900
442.308,-0.093208,0.005856,0.013176,-279.230,93.800,-14.350
451.923,-0.089304,-0.025376,0.016592,-254.240,103.530,-17.150
461.538,-0.091256,-0.061976,0.004880,-228.480,102.340,-19.460
471.154,-0.107848,-0.099064,-0.022448,-202.930,93.520,-19.110
480.769,-0.138104,-0.139568,-0.009760,-177.380,81.970,-15.120
490.385,-0.154696,-0.163480,0.013176,-151.410,71.470,-7.910
500.000,-0.109312,-0.182024,0.034648,-124.320,64.330,0.700
509.615,-0.083936,-0.212280,0.040992,-96.950,58.870,8.400
519.231,-0.084424,-0.264008,0.033184,-70.980,50.610,15.540
528.846,-0.105896,-0.313784,0.010248,-47.530,37.870,22.750
538.462,-0.099552,-0.335256,0.015616,-27.230,25.830,30.450
548.077,-0.097112,-0.365512,0.058560,-8.120,20.930,37.100
557.692,-0.130784,-0.384544,0.109312,10.920,22.820,42.980
567.308,-0.193736,-0.402112,0.218136,30.940,27.230,49.140
576.923,-0.227896,-0.410896,0.317200,53.480,30.940,55.020
586.538,-0.228384,-0.403088,0.400648,78.050,30.940,59.150
