timestamp,Ax,Ay,Az,Gx,Gy,Gz
0.000,0.627568,-0.066368,0.231800,-240.240,308.560,348.950
9.615,0.065880,-0.516304,0.071736,-250.530,321.720,311.990
19.231,0.183000,-0.945744,0.042456,-254.380,339.570,288.400
28.846,0.705648,-0.991128,0.769088,-250.250,349.230,260.470
38.462,-0.400160,-0.573888,0.634888,-231.980,350.210,228.760
48.077,-0.505080,-0.269376,0.680760,-194.180,344.470,207.900
57.692,-0.338672,-0.027328,0.630008,-177.100,324.660,209.090
67.308,0.071248,0.304024,0.884744,-159.530,288.540,208.250
76.923,0.929152,0.382104,0.836432,-126.560,243.810,193.130
86.538,0.667584,0.136640,-0.138104,-95.690,203.770,150.500
96.154,0.124440,-0.087352,-0.210816,-88.270,175.560,117.390
105.769,0.344528,-0.153232,0.449448,-82.250,154.210,99.820
115.385,-0.017080,0.002440,0.361120,-30.380,121.520,68.600
125.000,0.002440,-0.193736,0.499712,-9.590,112.630,61.600
134.615,0.147376,-0.447496,0.447008,13.790,114.170,54.810
144.231,-0.110288,-0.488000,0.589992,38.640,134.610,46.200
153.846,-0.389424,-0.396744,0.502640,67.620,176.890,44.800
163.462,-0.418704,-0.343064,0.421144,95.690,230.790,52.290
173.077,-0.261080,-0.337208,0.544120,121.170,284.270,62.230
182.692,-0.108336,-0.429440,0.733952,147.630,333.620,70.420
192.308,-0.101992,-0.711992,0.493856,179.410,365.820,75.810
201.923,-0.299632,-0.898408,0.471896,201.950,372.120,82.320
211.538,-0.697352,-1.116056,0.551928,220.360,357.070,130.200
221.154,-0.826672,-1.213168,0.701744,250.320,321.300,163.800
230.769,-0.945256,-1.184864,0.722728,266.140,323.820,198.870
240.385,-0.807640,-1.089704,0.713944,277.620,348.950,235.270
250.000,-0.488488,-0.928176,0.546072,282.590,389.970,266.910
259.615,1.202432,-0.644160,-1.368352,263.270,413.630,275.730
269.231,-0.515328,-0.776408,0.663192,99.750,265.860,145.250
278.846,-0.638304,-0.820816,0.356240,51.240,153.160,96.950
288.462,-0.390888,-0.565592,0.276696,4.760,72.380,52.220
298.077,-0.462136,-0.505568,0.280600,-30.100,47.320,6.790
307.692,-0.613416,-0.570472,0.056608,-47.390,85.330,-25.830
317.308,-0.692960,-0.801784,0.579256,-51.940,175.980,-40.810
326.923,-1.052128,-1.030168,0.931592,-27.440,245.910,-39.550
336.538,-1.007720,-1.070184,0.575352,9.590,257.600,-19.670
346.154,-0.888648,-1.223416,0.304024,35.840,212.940,36.890
355.769,-0.858880,-1.096048,0.266936,67.200,178.640,64.960
365.385,-0.670024,-0.950624,0.303536,73.780,159.040,86.520
375.000,-0.684176,-1.011136,0.368928,78.820,155.330,94.010
384.615,-0.826672,-1.094584,0.394792,81.830,151.760,97.020
394.231,-0.878888,-1.096048,0.304024,81.270,144.970,98.420
403.846,-0.861320,-1.061400,0.209840,74.340,141.540,95.410
413.462,-0.878400,-1.102392,0.294752,61.950,142.450,86.240
423.077,-0.896456,-1.056032,0.236192,35.070,125.440,59.780
432.692,-0.909144,-1.013088,0.183488,19.040,109.970,47.110
442.308,-0.905240,-1.007232,0.128832,2.870,103.740,34.930
451.923,-0.811056,-0.994056,0.081496,-13.230,111.930,22.330
461.538,-0.782264,-1.006256,0.103456,-28.420,128.030,8.470
471.154,-0.808616,-0.997960,0.105408,-40.670,143.220,-5.460
480.769,-0.879864,-0.949160,0.050264,-50.470,152.670,-16.730
490.385,-0.831552,-0.975512,0.040504,-59.570,155.610,-25.830
500.000,-0.849120,-0.982832,-0.122976,-67.340,158.480,-36.190
509.615,-0.997960,-0.965752,-0.056608,-82.670,183.260,-38.990
519.231,-0.855952,-0.939400,-0.146888,-85.610,195.090,-42.070
528.846,-0.838384,-1.003816,-0.190808,-87.920,198.030,-49.140
538.462,-0.936960,-1.054080,-0.217160,-90.440,196.350,-57.610
548.077,-0.983808,-1.116056,-0.366000,-90.860,216.720,-70.490
557.692,-1.024800,-1.135088,-0.367952,-89.110,243.880,-77.210
567.308,-1.021384,-1.117032,-0.485072,-85.540,277.270,-83.230
576.923,-0.979416,-1.219024,-0.560224,-82.460,316.120,-91.770
586.538,-1.011624,-1.230736,-0.604632,-79.240,356.720,-102.900
